ep_id,mpName,correctly_spelled,mp_gender,mp_party,mp_age,mp_tenure,mp_gov,mp_opp,mp_bame,mp_ethnicity_closest_to_self_described,mp_ethnicity_match_bes
8757f7ba-6d65-445a-b162-08017ba7654a,Graham Evans,1,male,conservative,50,3,0,0,0,,
d322deb0-356e-49c5-b8ca-621691a0590a,Sam Gyimah,1,male,conservative,37,3,1,0,1,Black African,Black African
2e1e85f4-faf9-4cca-8b94-bae0565fb57e,Mark Simmonds,1,male,conservative,49,12,1,0,0,,
bbb08548-aaee-4d36-864b-e3bbd76beb10,Alan Whitehead,1,male,labour,63,16,0,0,0,,
e38334f8-2c69-44d7-aa9c-9d1039d98e44,Bill Wiggin,1,male,conservative,47,12,0,0,0,,
36c6ab70-1e3a-414c-b99e-7b1c84169d9f,Jonathan Evans,1,male,conservative,63,21,0,0,0,,
e3a5f695-9c50-4d35-b05c-69672eca5af5,Brian H. Donohoe,1,male,labour,65,21,0,0,0,,
8ab6a9ba-4ba2-4695-ba20-4064a839c0d7,Julian Smith,1,male,conservative,42,3,0,0,0,,
cd4c9341-4471-4125-a78e-13f8ffba4d72,Paul Murphy,1,male,labour,65,26,0,0,0,,
e984ff42-3c14-4ce4-9423-d042ed40d20a,Jonathan Djanogly,1,male,conservative,48,12,0,0,0,,
e54d243b-5ed0-4eb5-b7c8-6e0d1bb290ae,Edward Timpson,1,male,conservative,40,5,1,0,0,,
725dc315-d64c-4a66-8c9a-6a8e36c6170f,Susan Elan Jones,1,female,labour,45,3,0,1,0,,
edd46a8a-7191-46e7-ae03-d469b97ee9e7,Iain Stewart,1,male,conservative,41,3,0,0,0,,
328e0940-5503-4634-81d5-11f07a68ea17,Damian Collins,1,male,conservative,39,3,0,0,0,,
809a2a10-d0c8-4af6-9d90-fb76b9ef81d0,Philip Dunne,1,male,conservative,55,8,1,0,0,,
10fdca28-0ac2-486a-ac61-bdf0eee59baf,Amber Rudd,1,female,conservative,50,3,1,0,0,,
f2e94257-a37d-4cec-935d-8f30b9f589b7,Valerie Vaz,1,female,labour,59,3,0,0,1,Indian,Indian
8af464cc-6c04-4e8a-b2dd-2189927a0879,Eric Joyce,1,male,labour,53,13,0,0,0,,
7338a938-d216-4a0d-957f-e79ddbae74df,Sarah Wollaston,1,female,conservative,51,3,0,0,0,,
63c6eb91-8f08-4150-9319-89de2391f778,Richard Benyon,1,male,conservative,53,8,0,0,0,,
e259a414-eff4-4bc4-8f63-8563e19aed59,Andrew Bingham,1,male,conservative,51,3,0,0,0,,
7b17e1f5-c249-43f9-97ac-7182315eadb1,Jeremy Browne,1,male,liberal-democrat,43,8,0,0,0,,
a3bb0d9d-9743-4a2b-853d-16eb0e90f0a0,Julie Hilling,1,female,labour,58,3,0,1,0,,
6a96c3e2-c057-4bff-8d51-9df52706a58f,Andrew Mitchell,1,male,conservative,57,26,0,0,0,,
e7e06020-d834-4c95-8cdc-d611325d78a3,Simon Hart,1,male,conservative,50,3,0,0,0,,
8f95c9e7-b3ce-418d-8bf4-190c66a2c421,Mark Tami,1,male,labour,51,12,0,1,0,,
18a9f1f8-ba92-45a9-86f3-e651b8ae020e,Matthew Hancock,1,male,conservative,35,3,1,0,0,,
9b9a9e26-6622-4e3d-8820-44497471a151,Harriett Baldwin,1,female,conservative,53,3,0,0,0,,
51b8d916-1441-4f35-a290-fb164f7a5ca7,Nia Griffith,1,female,labour,57,8,0,1,0,,
2235c51b-63c8-4261-be64-87cbce9a3011,Yvette Cooper,1,female,labour,44,16,0,1,0,,
376383ea-f61b-41dc-8189-55d17d50b719,George Hollingbery,1,male,conservative,50,3,0,0,0,,
